Year,Region,State,Total,Male,Female
2012,Northeast,Pennsylvania,251,240,11
2012,Northeast,Rhode Island,12,10,2
2012,Northeast,Vermont,8,7,1
2012,South,Alabama,117,110,7
2012,South,Arkansas,82,71,11
2012,South,Delaware,18,10,8
2012,South,District Of Columbia,8,7,1
2012,South,Florida,512,488,24
2012,South,Georgia,183,172,11
2012,South,Kentucky,107,90,17
2012,South,Louisiana,75,70,5
2012,South,Maryland,90,80,10
2012,South,Mississippi,64,60,4
2012,South,North Carolina,174,160,14
2012,South,Oklahoma,105,100,5
2012,South,South Carolina,108,100,8
2012,South,Tennessee,161,150,11
2012,South,Texas,471,455,16
2012,South,Virginia,183,170,13
2012,South,West Virginia,65,60,5
2012,West,Alaska,21,10,11
2012,West,Arizona,208,200,8
2012,West,California,528,500,28
2012,West,Colorado,159,150,9
2012,West,Hawaii,23,20,3
2012,West,Idaho,44,40,4
2012,West,Montana,49,40,9
2012,West,Nevada,92,80,12
2012,West,New Mexico,61,50,11
2012,West,Oregon,134,120,14
2012,West,Utah,62,50,12
2012,West,Washington,171,160,11
2012,West,Wyoming,30,20,10
2013,Midwest,Illinois,164,150,14
2013,Midwest,Indiana,147,130,17
2013,Midwest,Iowa,64,60,4
2013,Midwest,Kansas,67,60,7
2013,Midwest,Michigan,169,160,9
2013,Midwest,Minnesota,89,80,9
2013,Midwest,Missouri,191,181,10
2013,Midwest,Nebraska,34,30,4
2013,Midwest,North Dakota,15,10,5
2013,Midwest,Ohio,223,210,13
2013,Midwest,South Dakota,18,10,8
2013,Midwest,Wisconsin,123,110,13
2013,Northeast,Connecticut,30,20,10
2013,Northeast,Maine,45,40,5
2013,Northeast,Massachusetts,56,50,6
2013,Northeast,New Hampshire,25,20,5
2013,Northeast,New Jersey,96,90,6
2013,Northeast,New York,180,170,10
2013,Northeast,Pennsylvania,271,260,11
2013,Northeast,Rhode Island,16,10,6
2013,Northeast,Vermont,13,10,3
2013,South,Alabama,124,110,14
2013,South,Arkansas,92,80,12
2013,South,Delaware,16,10,6
2013,South,District Of Columbia,8,7,1
2013,South,Florida,520,505,15
2013,South,Georgia,174,160,14
2013,South,Kentucky,110,100,10
2013,South,Louisiana,85,80,5
2013,South,Maryland,78,70,8
2013,South,Mississippi,47,40,7
2013,South,North Carolina,203,190,13
2013,South,Oklahoma,106,100,6
2013,South,South Carolina,122,110,12
2013,South,Tennessee,166,150,16
2013,South,Texas,466,449,17
2013,South,Virginia,175,160,15
2013,South,West Virginia,65,60,5
2013,West,Alaska,19,10,9
2013,West,Arizona,221,210,11
2013,West,California,508,483,25
2013,West,Colorado,149,140,9
2013,West,Hawaii,27,20,7
2013,West,Idaho,53,50,3
2013,West,Montana,28,20,8
2013,West,Nevada,106,100,6
2013,West,New Mexico,66,60,6
2013,West,Oregon,135,120,15
2013,West,Utah,60,50,10
2013,West,Washington,166,150,16
2013,West,Wyoming,29,20,9
